"filename", "language", "Markdown", "Python", "JSON", "HTML", "JavaScript", "XML", "JSON with Comments", "vue", "YAML", "PostCSS", "Properties", "Java", "MS SQL", "comment", "blank", "total"
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\MessageController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 16, 17, 87
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\OrganizationController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 24, 10, 109
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\RoleController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 43, 40, 283
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\TaskController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 10, 5, 38
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowEngineController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 0, 39, 24, 235
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowInstanceController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 15, 40, 277
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\controller\WorkflowTemplateController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 36, 21, 194
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\DocumentProcessRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 8, 11, 54
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\LoginResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 13, 37, 176
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\StartWorkflowRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 27, 11, 57
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCommentRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 4, 16
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskCreateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskQueryRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\TaskUpdateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTaskRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 21, 9, 45
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\dto\WorkflowTemplateRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 105, 37, 202
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Announcement.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 9, 37, 149
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\AttendanceRecord.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 9, 40, 160
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeDocument.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 14, 48
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeOperation.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 10, 36
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\CollaborativeSession.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 13, 45
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Department.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 9, 43, 171
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Document.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 20, 66
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\Employee.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 9, 37, 148
"d:\项目\综合课程设计\SOMS-5\admin-backend\src\main\java\com\office\admin\entity\LeaveApplication.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 11, 61, 242
